district_name,state,latitude,longitude,population,district_id
Thiruvananthapuram,Kerala,8.5241,76.9366,3307284,1
Kollam,Kerala,8.8932,76.6141,2629703,2
Pathanamthitta,Kerala,9.2648,76.787,1195537,3
Alappuzha,Kerala,9.4981,76.3388,2121943,4
Kottayam,Kerala,9.5916,76.5222,1979384,5
Idukki,Kerala,9.8497,76.9681,1107453,6
Ernakulam,Kerala,9.9816,76.2999,3279860,7
Thrissur,Kerala,10.5276,76.2144,3110327,8
Palakkad,Kerala,10.7867,76.6548,2810892,9
Malappuram,Kerala,11.051,76.0711,4110956,10
Kozhikode,Kerala,11.2588,75.7804,3089543,11
Wayanad,Kerala,11.6854,76.132,817420,12
Kannur,Kerala,11.8745,75.3704,2525637,13
Kasaragod,Kerala,12.4996,74.9869,1302600,14
