district,date,actual_rainfall,warning_level,district_id,district_name,population
Alappuzha,8/10/2018,Green,Yellow,4,Alappuzha,2121943
Alappuzha,8/11/2018,Green,Red,4,Alappuzha,2121943
Alappuzha,8/12/2018,Green,Red,4,Alappuzha,2121943
Alappuzha,8/13/2018,Green,Orange,4,Alappuzha,2121943
Alappuzha,8/14/2018,Green,Orange,4,Alappuzha,2121943
Alappuzha,8/15/2018,Red,Orange,4,Alappuzha,2121943
Alappuzha,8/16/2018,Red,Orange,4,Alappuzha,2121943
Alappuzha,8/17/2018,Yellow,Orange,4,Alappuzha,2121943
Alappuzha,8/18/2018,Green,Yellow,4,Alappuzha,2121943
Alappuzha,8/19/2018,Green,Yellow,4,Alappuzha,2121943
Alappuzha,8/20/2018,Green,Green,4,Alappuzha,2121943
Alappuzha,8/21/2018,Green,Green,4,Alappuzha,2121943
Alappuzha,8/22/2018,Green,Green,4,Alappuzha,2121943
Alappuzha,8/8/2018,Yellow,Orange,4,Alappuzha,2121943
Alappuzha,8/9/2018,Yellow,Yellow,4,Alappuzha,2121943
Ernakulam,8/10/2018,Green,Yellow,7,Ernakulam,3279860
Ernakulam,8/11/2018,Green,Red,7,Ernakulam,3279860
Ernakulam,8/12/2018,Green,Red,7,Ernakulam,3279860
Ernakulam,8/13/2018,Yellow,Orange,7,Ernakulam,3279860
Ernakulam,8/14/2018,Green,Orange,7,Ernakulam,3279860
Ernakulam,8/15/2018,Red,Orange,7,Ernakulam,3279860
Ernakulam,8/16/2018,Red,Red,7,Ernakulam,3279860
Ernakulam,8/17/2018,Orange,Red,7,Ernakulam,3279860
Ernakulam,8/18/2018,Green,Red,7,Ernakulam,3279860
Ernakulam,8/19/2018,Green,Yellow,7,Ernakulam,3279860
Ernakulam,8/20/2018,Green,Green,7,Ernakulam,3279860
Ernakulam,8/21/2018,Green,Green,7,Ernakulam,3279860
Ernakulam,8/22/2018,Green,Green,7,Ernakulam,3279860
Ernakulam,8/8/2018,Yellow,Orange,7,Ernakulam,3279860
Ernakulam,8/9/2018,Yellow,Yellow,7,Ernakulam,3279860
Idukki,8/10/2018,Red,Red,6,Idukki,1107453
Idukki,8/11/2018,Yellow,Red,6,Idukki,1107453
Idukki,8/12/2018,Green,Red,6,Idukki,1107453
Idukki,8/13/2018,Orange,Red,6,Idukki,1107453
Idukki,8/14/2018,Orange,Red,6,Idukki,1107453
Idukki,8/15/2018,Red,Red,6,Idukki,1107453
Idukki,8/16/2018,Red,Red,6,Idukki,1107453
Idukki,8/17/2018,Red,Red,6,Idukki,1107453
Idukki,8/18/2018,Red,Red,6,Idukki,1107453
Idukki,8/19/2018,Orange,Yellow,6,Idukki,1107453
Idukki,8/20/2018,Green,Green,6,Idukki,1107453
Idukki,8/21/2018,Green,Green,6,Idukki,1107453
Idukki,8/22/2018,Green,Green,6,Idukki,1107453
Idukki,8/8/2018,Red,Orange,6,Idukki,1107453
Idukki,8/9/2018,Red,Yellow,6,Idukki,1107453
Kannur,8/10/2018,Green,Red,13,Kannur,2525637
Kannur,8/11/2018,Green,Red,13,Kannur,2525637
Kannur,8/12/2018,Green,Red,13,Kannur,2525637
Kannur,8/13/2018,Yellow,Orange,13,Kannur,2525637
Kannur,8/14/2018,Yellow,Yellow,13,Kannur,2525637
Kannur,8/15/2018,Red,Red,13,Kannur,2525637
Kannur,8/16/2018,Yellow,Red,13,Kannur,2525637
Kannur,8/17/2018,Yellow,Red,13,Kannur,2525637
Kannur,8/18/2018,Green,Yellow,13,Kannur,2525637
Kannur,8/19/2018,Green,Green,13,Kannur,2525637
Kannur,8/20/2018,Green,Green,13,Kannur,2525637
Kannur,8/21/2018,Green,Green,13,Kannur,2525637
Kannur,8/22/2018,Green,Green,13,Kannur,2525637
Kannur,8/8/2018,Orange,Orange,13,Kannur,2525637
Kannur,8/9/2018,Orange,Yellow,13,Kannur,2525637
Kasaragod,8/10/2018,Green,Yellow,14,Kasaragod,1302600
Kasaragod,8/11/2018,Green,Yellow,14,Kasaragod,1302600
Kasaragod,8/12/2018,Green,Orange,14,Kasaragod,1302600
Kasaragod,8/13/2018,Yellow,Yellow,14,Kasaragod,1302600
